# Time(s)	Magnetic_Field(uT)
3.518700122833251953e+00	2.691321192316524283e-05
3.531395912170410156e+00	4.542078522672120548e-05
3.543169975280761719e+00	1.303227234270717974e-05
3.555006980895996094e+00	1.009435995384015623e-04
3.566745996475219727e+00	-5.475584163893513854e-06
3.578783750534057617e+00	1.303198913966140102e-05
3.590862512588500977e+00	-6.562569300577893823e-05
3.603041172027587891e+00	5.004713574677227940e-05
3.615135431289672852e+00	-3.323746332481068781e-05
3.627412796020507812e+00	-1.472989002125472346e-05
3.639248132705688477e+00	-6.562607060983927630e-05
3.651354312896728516e+00	-8.493280448580518345e-07
3.663742780685424805e+00	2.691207911098317829e-05
3.675841331481933594e+00	3.616581856225282792e-05
3.687793731689453125e+00	1.765805645666669623e-05
3.699578046798706055e+00	-3.323812413191680460e-05
3.711316347122192383e+00	-1.473055082836189395e-05
3.723173856735229492e+00	-1.010372830323382027e-05
3.735601663589477539e+00	-2.398457348267732061e-05
3.767646074295043945e+00	-8.500832529797802058e-07
3.779099702835083008e+00	5.467282545971722976e-05
3.790683984756469727e+00	-2.861177361186573406e-05
3.802688837051391602e+00	4.079188587925812313e-05
3.814654111862182617e+00	-2.398504548775327175e-05
3.826524972915649414e+00	2.691094629880006004e-05
3.837993621826171875e+00	-1.010448351135555012e-05
3.849812984466552734e+00	5.467225905362567911e-05
3.861673593521118164e+00	-9.338917698395412701e-05
3.873484373092651367e+00	1.055681564391644414e-04
3.885495901107788086e+00	-2.398561189384482918e-05
3.897033929824829102e+00	3.153729681885113396e-05
3.909018516540527344e+00	1.009409563099760381e-04
3.920764923095703125e+00	2.691019109067833019e-05
3.932897329330444336e+00	-5.478321793334646930e-06
3.945238590240478516e+00	-2.861300082506341167e-05
3.956479549407958984e+00	3.775323256919394296e-06
3.968238830566406250e+00	2.228289656047536076e-05
3.980339288711547852e+00	-3.324020095425182173e-05
3.992469072341918945e+00	-3.324029535526638109e-05
4.004272699356079102e+00	8.401862579001686304e-06
4.016110420227050781e+00	-5.478982600441816579e-06
4.028176069259643555e+00	2.228242455539941301e-05
4.040429353713989258e+00	-5.479171402471985616e-06
4.052230358123779297e+00	4.078990345793871567e-05
4.064069986343383789e+00	8.401390573925738553e-06
4.076486825942993164e+00	2.228204695133802123e-05
4.087570428848266602e+00	2.228195255032346187e-05
4.099827766418457031e+00	8.401107370879958144e-06
4.111957550048828125e+00	-5.479737808563545586e-06
4.124124050140380859e+00	4.078933705184820856e-05
4.136181354522705078e+00	4.078924265083259888e-05
4.147750377655029297e+00	5.929681595438750783e-05
4.159571170806884766e+00	-6.100311852633545309e-05
4.171494722366333008e+00	-3.786862829663790601e-05
4.183401584625244141e+00	-4.712255654993772807e-05
4.195281744003295898e+00	2.690801986732875708e-05
4.208583354949951172e+00	1.765409161402788470e-05
4.219855308532714844e+00	6.855008340058227020e-05
4.231961965560913086e+00	-8.537648925728111136e-07
4.244049072265625000e+00	2.228072533712473734e-05
4.255926847457885742e+00	1.302679708382491189e-05
4.267670631408691406e+00	3.772868830524040358e-06
4.279303312301635742e+00	1.765352520793737759e-05
4.291497945785522461e+00	-3.324265538064717694e-05
4.303393602371215820e+00	-2.398891592937752392e-05
4.314926385879516602e+00	9.631082974931632506e-05
4.327261447906494141e+00	3.772396825448091336e-06
4.338797092437744141e+00	-5.175070068927909074e-05
4.350857973098754883e+00	-4.712387816415101874e-05
4.384439468383789062e+00	3.153361517925810454e-05
4.396043300628662109e+00	4.541427155667143245e-05
4.407488346099853516e+00	3.771924820372143162e-06
4.419466495513916016e+00	-1.010892035907136142e-05
4.431423902511596680e+00	2.690632064905513173e-05
4.443127155303955078e+00	1.055638139924642584e-04
4.455124378204345703e+00	-3.787070511897187283e-05
4.467189550399780273e+00	8.705595748586355718e-05
4.478886365890502930e+00	3.615977689727900264e-05
4.490777015686035156e+00	1.765201479169391789e-05
4.502971649169921875e+00	-3.324416579689062987e-05
4.515123128890991211e+00	-5.637884482861939630e-05
4.526995897293090820e+00	-7.025969000806185649e-05
4.539132356643676758e+00	3.770886409204635017e-06
4.550862073898315430e+00	-4.249837725323623065e-05
4.562839746475219727e+00	2.690528223788762316e-05
4.574691295623779297e+00	-1.473706449841166868e-05
4.586555957794189453e+00	1.009357642541395557e-04
4.598292827606201172e+00	1.765116518255658174e-05
4.610349416732788086e+00	-3.787193233217059737e-05
4.622489452362060547e+00	2.690481023281167541e-05
4.634461402893066406e+00	6.854696816707974111e-05
4.646221637725830078e+00	3.770036800068347923e-06
4.658020019531250000e+00	-8.569745270898934235e-07
4.669865369796752930e+00	-9.802232437710075945e-05
4.681996583938598633e+00	-1.011099718140532484e-05
4.694249629974365234e+00	4.541191153129063660e-05
4.706387758255004883e+00	-4.249960446643496196e-05
4.718173503875732422e+00	6.854630735997361754e-05
4.730887413024902344e+00	-3.324595941617986829e-05
4.742113351821899414e+00	6.854611855794345528e-05
4.754371404647827148e+00	-1.011156358749688397e-05
