# Time(s)	Magnetic_Field(uT)
4.102779626846313477e+00	1.267344886048117581e-04
4.114880323410034180e+00	-2.353831174881263776e-05
4.127030134201049805e+00	8.046730599565078831e-05
4.139412403106689453e+00	3.260597701810949694e-04
4.151326179504394531e+00	1.975248599455169034e-05
4.163832902908325195e+00	1.468743235661139964e-04
4.175953626632690430e+00	1.410778971318576850e-04
4.188015222549438477e+00	2.547942651888162937e-05
4.200363874435424805e+00	1.439326816552818520e-04
4.212577342987060547e+00	2.392697169645818767e-04
4.224725008010864258e+00	2.542731208643553382e-05
4.236372232437133789e+00	2.016711167905830106e-04
4.248543262481689453e+00	1.005202835695437482e-04
4.260335922241210938e+00	-1.219907037437646950e-04
4.272042989730834961e+00	1.322703428768402345e-04
4.283400774002075195e+00	8.891005922354819910e-05
4.294940233230590820e+00	1.177879625299402212e-04
4.306270360946655273e+00	2.824736573205382682e-04
4.318130016326904297e+00	-1.249670886095626378e-04
4.329634904861450195e+00	-2.963005330026131546e-05
4.341107368469238281e+00	3.392217974677904356e-05
4.352650642395019531e+00	4.546291818284689892e-05
4.380528450012207031e+00	-4.701933260303026656e-05
4.392024755477905273e+00	1.436721094930526888e-04
4.403359651565551758e+00	-9.328651521219254422e-05
4.415156126022338867e+00	1.649815748904559507e-05
4.427310705184936523e+00	2.476429842825529897e-04
4.439345598220825195e+00	6.558538166666755254e-05
4.450847148895263672e+00	1.464747795840307739e-04
4.462385177612304688e+00	-1.246660320475571218e-05
4.474365234375000000e+00	-9.258647686878605190e-07
4.486749649047851562e+00	1.868760498490090532e-04
4.498881101608276367e+00	4.818447233122359864e-06
4.510651111602783203e+00	1.550565046317835586e-04
4.522727012634277344e+00	2.186087376788239142e-04
4.534727573394775391e+00	7.411499228197425523e-05
4.547197818756103516e+00	3.075470862868223340e-05
4.558363437652587891e+00	1.318707988947569849e-04
4.570174694061279297e+00	2.965564936853550318e-04
4.582250356674194336e+00	5.670834150172240153e-05
4.594283342361450195e+00	-1.369073710277124282e-04
4.606201410293579102e+00	5.089454358998447841e-05
4.618350028991699219e+00	1.953535460318696468e-04
4.630010128021240234e+00	3.195858561250446064e-04
4.641738414764404297e+00	1.664235282930328437e-04
4.653891563415527344e+00	9.127844237747985174e-05
4.665916681289672852e+00	1.895050051651672263e-04
4.677922725677490234e+00	1.577028314254246986e-04
4.689735174179077148e+00	2.472608117779512976e-04
4.701790332794189453e+00	-4.170930753826646958e-05
4.713648319244384766e+00	1.114182773387821035e-04
4.725318431854248047e+00	1.604649907451626006e-05
4.737658739089965820e+00	3.136504578709329617e-04
4.749972820281982422e+00	2.067205696931189319e-04
4.762198686599731445e+00	6.511635177465662275e-05
4.774177789688110352e+00	1.835696069110568556e-04
4.786530494689941406e+00	-1.871468805354136535e-05
4.798416376113891602e+00	7.273687774463295930e-06
4.810163974761962891e+00	1.892965474353855003e-04
4.822222709655761719e+00	1.112619340414451314e-04
4.834492683410644531e+00	-2.167370144185641907e-05
4.846271514892578125e+00	5.343664151873339348e-05
4.858174324035644531e+00	4.297302908666649115e-06
4.870196580886840820e+00	-1.344173875314083144e-04
4.882178783416748047e+00	-3.619082474371960496e-05
4.894130229949951172e+00	-4.776630613475196449e-05
4.906167030334472656e+00	-1.310934787158521221e-05
4.918321132659912109e+00	4.177430274029307020e-05
4.931177377700805664e+00	5.042551369797355540e-05
4.942663669586181641e+00	9.086152691791501751e-05
4.954654455184936523e+00	-2.184741621667498932e-05
4.966777563095092773e+00	1.110534763116620503e-04
5.001352310180664062e+00	3.768726328458177886e-04
5.013447999954223633e+00	6.189676622411371704e-05
5.024583101272583008e+00	1.167804168359906815e-04
5.036282777786254883e+00	-3.638191099602108120e-05
5.048354148864746094e+00	9.073992657554122822e-05
5.059675455093383789e+00	-7.521379167110653867e-06
5.071523427963256836e+00	1.542747881450999992e-04
5.083530187606811523e+00	1.112460313086929371e-06
5.095376968383789062e+00	3.287989109786631424e-05
5.107438802719116211e+00	4.731015701232152621e-05
5.119345664978027344e+00	1.802110495406585489e-04
5.131072998046875000e+00	-2.792411910004135157e-04
5.142926454544067383e+00	2.414182275277653713e-05
5.154708385467529297e+00	3.044086166788690924e-04
5.166901588439941406e+00	-8.858449185929376344e-05
5.178400993347167969e+00	2.090194669371229043e-04
5.190341949462890625e+00	1.916649305893158384e-04
5.202148199081420898e+00	5.295024014924086552e-05
5.214038372039794922e+00	3.848523127982246398e-05
5.226089954376220703e+00	3.557833232395350920e-05
5.237854957580566406e+00	1.453630050251916586e-04
5.249744892120361328e+00	1.540142159828708360e-04
5.261562108993530273e+00	1.511073170270018609e-04
5.273276567459106445e+00	-9.451989011340544873e-05
5.285132646560668945e+00	3.706672674283246755e-06
5.297034978866577148e+00	1.163808728539087465e-04
5.309090614318847656e+00	1.828226333793351644e-04
5.321172475814819336e+00	7.300321772313382541e-05
5.333122491836547852e+00	6.142773633210278725e-05
5.345390558242797852e+00	2.636772883417365311e-04
5.357185602188110352e+00	1.538578726855338640e-04
5.369167804718017578e+00	6.715467685643141847e-05
5.381247282028198242e+00	5.268966798701301015e-05
5.394269704818725586e+00	2.666654920404516185e-05
5.405516624450683594e+00	1.220154033462676200e-05
5.417195796966552734e+00	-1.236236226270621367e-04
5.429315567016601562e+00	-2.250753236098608075e-05
5.441051244735717773e+00	1.248409975592877825e-04
5.453133344650268555e+00	1.681665382576165945e-04
5.464834928512573242e+00	1.941549140856212532e-04
5.477086067199707031e+00	1.825794326945888869e-04
5.488802194595336914e+00	7.564954451677493837e-05
5.500370502471923828e+00	1.478703599989773841e-04
5.511945009231567383e+00	7.850432904019910541e-05
5.524420022964477539e+00	1.102717598249771763e-04
5.536569118499755859e+00	1.131439158258829415e-04
5.548617124557495117e+00	1.593589840025991440e-04
5.560549497604370117e+00	8.421389808704613845e-05
5.573009729385375977e+00	1.506556586124738575e-04
5.585005521774291992e+00	2.488822214001612998e-04
5.615603208541870117e+00	-1.383318321812268157e-04
5.626976490020751953e+00	3.502244504453329429e-05
5.638325214385986328e+00	2.633649113188961613e-05
5.650051355361938477e+00	1.794640760089382130e-04
5.661768913269042969e+00	-7.772124104501990549e-05
5.673925399780273438e+00	-6.329097513056468674e-05
5.685361623764038086e+00	2.169758187955277736e-04
5.697163343429565430e+00	1.562783702719116122e-04
5.708925008773803711e+00	-5.178497964946134232e-05
5.720932960510253906e+00	1.389064624466229345e-04
5.733052253723144531e+00	7.242995896623201911e-05
5.745046138763427734e+00	1.215345546213355849e-04
5.757201671600341797e+00	-2.584871825390146454e-05
5.769955158233642578e+00	1.041626467960468937e-04
5.781506538391113281e+00	1.185929127105021260e-04
5.793275833129882812e+00	1.301336511465699813e-04
5.805161952972412109e+00	3.468308405481405421e-04
5.817136764526367188e+00	-2.819355814211854875e-06
5.829235553741455078e+00	1.214129542789617821e-04
5.841420650482177734e+00	1.734070774124527113e-04
5.853344917297363281e+00	2.600755302865920011e-04
5.865186452865600586e+00	1.329189497600664546e-04
5.877552032470703125e+00	1.068958309770972850e-04
5.889895677566528320e+00	2.080119212431733510e-04
5.901923656463623047e+00	-1.738859354852245219e-05
